plot,block.no,sequence.id,abiotic,wood.perc.n,wood.perc.c,wood.c.to.n,wood.perc.moist,w,n,perc.denloss,soil.moisture,soil.sir,wood.sir,soil.moist,wood.sir,wood.sir.perwet,wood.sir.perdry,wood.sir.scale.sqrt,soil.n,soil.c,soil.cn,wn,soil.temp,soil.ph,richness,evenness,frequency.rank,prop.p2,e.prop.p2
13,83,NA,w,0.2,47.5,237.5,0.4488706366,1,0,0.1651288973,9.4444444444,0.7934105327,0.6336831297,62.41,0.6336831297,0.3560017582,89.6048608378,0.43289214,1.4,34.25,24.75,0,23.55,3.93,NA,NA,NA,NA,NA
13,84,NA,w,0.7,63.8,91.1428571429,0.5971144571,1,0,0.313503299,8.3333333333,0.1984915369,1.2549309404,52.21,1.2549309404,0.5019723761,135.4687312985,0.54222077,1.4,34.25,24.75,0,23.75,3.93,NA,NA,NA,NA,NA
13,85,Wood42,w,0.3222222222,47.7,148.0344827586,0.4249269885,1,0,0.2170634571,7.8888888889,0.1587439263,0.6005222791,37.69,0.6005222791,0.3412058404,90.1106504947,0.4342479498,1.4,34.25,24.75,0,23.45,3.93,120,0.9742438436,122.7166666667,0.48,0.9512195122
5,87,NA,w,0.1,45.4,454,0.416377019,1,0,0.1323421793,7.7777777778,0.1982691243,0.6152178825,46.69,0.6152178825,0.36403425,80.0298345964,0.4063730339,1.05,25.9,23.7,0,20.65,4.01,NA,NA,NA,NA,NA
4,88,NA,wn,0.2,48.6,243,0.2619497226,1,1,0.1055811832,10.4444444444,0.6771339984,0.1375869924,50.59,0.1375869924,0.10423257,20.1447188726,0.1610582443,1.5,36.55,24.2,1,20.1,3.83,NA,NA,NA,NA,NA
4,89,Wood32,wn,0.5,47.6,95.2,0.5056385472,1,1,0.4426803816,7.5555555556,0.0943752001,3.9455555014,37.53,3.9455555014,1.962962936,330.2833380179,0.864197887,1.5,36.55,24.2,1,21.8,3.83,73,0.9804190855,140.8356164384,0.6666666667,0.9545454545
1,90,NA,c,0.1,50.2,502,0.3333970012,0,0,0.3365790589,9.6666666667,0.544521619,0.4305478888,53.72,0.4305478888,0.2814038489,39.6984643501,0.267191396,1.7,41.55,24.7,0,15.9,3.84,NA,NA,NA,NA,NA
11,91,NA,n,0.9,46.7,51.8888888889,0.489136195,0,1,0.3366521487,8.5555555556,0.9569073099,5.0146611713,63.38,5.0146611713,2.5326571572,439.1965155267,1,1.8,41.75,23.25,0,15.45,3.85,NA,NA,NA,NA,NA
12,92,Wood35,c,0.5,48.9,97.8,0.6016114593,0,0,0.520732417,14.7777777778,1.0009007602,4.0838353067,69.1,4.0838353067,1.6205695662,237.5677045763,0.7289212407,1.75,39.5,22.15,0,14.9,3.84,39,0.9883077746,152.8461538462,1,1
19,93,Wood23,c,0.4,50.8,127,0.5156181258,0,0,0.5643431149,7.5555555556,1.3012800785,2.5760552144,47.43,2.5760552144,1.2689927164,147.6390396457,0.5677081116,1.25,27.35,22.6,0,15.1,4.76,NA,NA,NA,NA,NA
8,94,NA,w,0.2,50.8,254,0.7431385912,1,0,0.4326308501,7.1111111111,0.0880439498,0.7858407405,43.68,0.7858407405,0.2004695766,43.4951033752,0.2832248171,0.8,19.2,22.9,0,21.45,4.37,NA,NA,NA,NA,NA
2,95,NA,w,0.2,46.4,232,0.291718685,1,0,0.2633062142,8.5555555556,1.2002674669,0.8879854028,57.67,0.8879854028,0.6166565297,106.0524477133,0.4750021194,1.4,32.4,23.05,0,19.95,3.99,NA,NA,NA,NA,NA
20,96,NA,c,0.5,48,96,0.4767703508,0,0,0.4956298564,13.7777777778,0.9012582797,2.076297576,61.27,2.076297576,1.098570146,180.089287596,0.6306513413,1.75,40.75,23.5,0,15.45,3.9,NA,NA,NA,NA,NA
18,97,NA,w,0.3,48.2,160.6666666667,0.4284991141,1,0,0.3450229467,8.6666666667,0.1215561806,1.2710945522,36.85,1.2710945522,0.7305141105,132.915201304,0.5367195164,0.95,21,22.05,0,20.35,4.71,NA,NA,NA,NA,NA
3,98,Wood9,wn,0.4,45.9,114.75,0.5633938615,1,1,0.3596047767,6.8888888889,0.159666219,3.0388833785,47.94,3.0388833785,1.3506148349,287.1715395175,0.8041313649,1.35,30.8,22.85,1,21.05,4.36,43,0.9846659325,150.2093023256,1,1
3,99,NA,wn,0.2,46.4,232,0.5529897413,1,1,0.2541829673,11.3333333333,0.2595812632,0.5606515376,52,0.5606515376,0.2458997972,68.6515117599,0.3724121748,1.35,30.8,22.85,1,20.1,4.36,NA,NA,NA,NA,NA
3,100,NA,wn,0.4,46.2,115.5,0.287397863,1,1,0.4278698406,9.2222222222,0.1551588005,0.6906006209,37.67,0.6906006209,0.4932861578,70.2998388749,0.3775212092,1.35,30.8,22.85,1,20.4,4.36,NA,NA,NA,NA,NA
21,101,NA,n,0.3,50.3,167.6666666667,0.2206151769,0,1,0.3419825842,9,1.2280946883,0.2879553551,45.25,0.2879553551,0.2303642841,27.4206171336,0.2070075797,1.85,42.65,23.3,0,15.15,4.16,NA,NA,NA,NA,NA
10,102,Wood49,wn,0.3,46.8,156,0.4946128909,1,1,0.2518369097,14.3333333333,1.1692920344,1.265034637,59.54,1.265034637,0.642149562,152.8835085313,0.5783450067,1.45,33.75,23.25,1,22.1,3.73,70,0.9811639575,139.6857142857,0.4285714286,0.8823529412
10,103,NA,wn,0.2,48.3,241.5,0.3829291045,1,1,0.1783515872,8.2222222222,0.1828669861,0.9786104164,47.64,0.9786104164,0.6116315102,117.5919957296,0.502444013,1.45,33.75,23.25,1,21.15,3.73,NA,NA,NA,NA,NA
10,104,NA,wn,0.2,47.9,239.5,0.3608115199,1,1,0.1787786784,8.1111111111,0.6039155129,0.7705850507,43.15,0.7705850507,0.484644686,94.8452522662,0.4467399398,1.45,33.75,23.25,1,21.4,3.73,NA,NA,NA,NA,NA
14,105,NA,c,0.3,43.8,146,0.4385412292,0,0,0.3849278497,8.7777777778,0.1005211852,1.5216498528,27.26,1.5216498528,0.8745114097,131.1075774487,0.5327908861,1.45,35.1,23.45,0,15.75,3.87,NA,NA,NA,NA,NA
14,106,NA,c,0.3222222222,46.7,144.9310344828,0.3043446567,0,0,0.255490756,7.3333333333,0.8144271136,0.6678713618,57.13,0.6678713618,0.4670429103,72.4370771684,0.3840444544,1.45,35.1,23.45,0,15,3.87,NA,NA,NA,NA,NA
11,107,Wood18,n,0.2,46.3,231.5,0.3274454056,0,1,0.1734653569,13,1.5038575122,0.932564507,49.14,0.932564507,0.6301111533,116.6342131111,0.5002236291,1.8,41.75,23.25,0,15.35,3.85,51,0.9788149399,141.4901960784,0.7058823529,1
7,108,NA,wn,0.1,46.3,463,0.2243211334,1,1,0.1742424997,6.6666666667,0.2668112194,0.1609704784,36.68,0.1609704784,0.1228782278,19.5045990161,0.1563708369,0.9,20.9,22.35,1,21.65,4.6,NA,NA,NA,NA,NA
5,109,NA,w,0.4,44.8,112,0.6165571499,1,0,0.3043261639,7.3333333333,0.17541538,1.7307652262,53.35,1.7307652262,0.6656789331,166.0185717307,0.604164379,1.05,25.9,23.7,0,21.1,4.01,NA,NA,NA,NA,NA
